               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09223,            0.024594,            0.025164,          0.00043058,             0.12388,          0.00026469,          3.9775e-05,            0.069872,            0.013531,            0.021198,             0.00074,             0.00074,             0.09334
                   1,            0.078276,            0.021833,            0.022595,           0.0099797,           0.0060484,          0.00076787,          0.00014577,            0.069469,            0.012183,            0.020473,             0.00149,             0.00149,             0.08659
                   2,            0.077185,            0.020359,            0.020466,           0.0028926,            0.044131,          0.00095748,          0.00015715,            0.069514,            0.010491,            0.020297,           0.0022398,           0.0022398,             0.07984
                   3,            0.075863,             0.02109,            0.019928,           0.0048084,            0.010977,           0.0010144,          0.00018303,            0.072114,            0.014352,            0.023839,           0.0029893,           0.0029893,            0.073089
                   4,            0.074141,            0.021324,            0.020525,           0.0019286,             0.19332,           0.0013083,          0.00023007,            0.068409,           0.0099627,            0.020798,           0.0037385,           0.0037385,            0.066339
                   5,             0.07139,            0.022359,            0.019758,            0.010657,            0.017025,           0.0019952,           0.0003815,            0.066057,           0.0099509,            0.020148,           0.0044872,           0.0044872,            0.059587
                   6,            0.070337,            0.021967,            0.019553,            0.015413,            0.086694,           0.0063715,          0.00097476,             0.06387,            0.010412,            0.020223,           0.0052353,           0.0052353,            0.052835
                   7,            0.065557,            0.022515,            0.018079,             0.53948,             0.03629,            0.012972,           0.0019267,            0.063472,            0.011049,            0.021543,           0.0059828,           0.0059828,            0.046083
                   8,            0.064352,            0.023273,            0.019917,             0.54945,             0.10484,             0.02777,            0.004979,            0.057776,            0.014705,            0.020568,           0.0067294,           0.0067294,            0.039329
                   9,            0.062118,            0.022906,            0.017439,             0.54457,               0.125,             0.03147,           0.0060826,            0.055649,            0.011408,              0.0203,            0.007475,            0.007475,            0.032575
                  10,            0.060458,            0.022035,            0.017903,             0.56269,             0.11694,            0.048745,            0.010017,            0.057229,            0.009915,            0.020177,           0.0082197,           0.0082197,             0.02582
                  11,            0.057644,            0.020929,            0.017686,             0.13926,             0.29973,            0.046578,           0.0098949,            0.056041,            0.011405,            0.021013,           0.0089632,           0.0089632,            0.019063
                  12,            0.056476,            0.020691,            0.017772,             0.16694,             0.28651,            0.088718,            0.021319,            0.054606,            0.010452,            0.019634,           0.0097054,           0.0097054,            0.012305
                  13,            0.056046,            0.020794,            0.017196,             0.16535,             0.25515,             0.10996,            0.026201,            0.051007,            0.010327,            0.019239,           0.0099584,           0.0099584,           0.0099584
                  14,             0.05606,            0.020299,            0.018131,             0.22672,             0.27106,             0.12953,             0.02928,            0.051112,           0.0097307,            0.018504,           0.0099584,           0.0099584,           0.0099584
                  15,            0.054336,            0.019793,            0.016818,             0.38205,             0.19579,             0.15099,             0.03615,            0.053969,           0.0095192,            0.019159,           0.0099517,           0.0099517,           0.0099517
                  16,            0.053379,            0.018945,            0.017816,             0.21165,             0.33311,             0.16487,            0.039595,            0.050599,            0.008802,            0.015916,           0.0099446,           0.0099446,           0.0099446
                  17,            0.050468,            0.019204,             0.01451,             0.25188,             0.40636,             0.22023,             0.05655,            0.049023,            0.008854,            0.016847,            0.009937,            0.009937,            0.009937
                  18,            0.051626,            0.019404,            0.015899,             0.34006,             0.26227,             0.18978,            0.051438,            0.049453,            0.009262,            0.018773,           0.0099289,           0.0099289,           0.0099289
                  19,            0.050778,            0.019598,            0.015868,             0.36108,              0.3107,             0.25583,            0.079404,            0.050492,           0.0086587,            0.017872,           0.0099203,           0.0099203,           0.0099203
                  20,            0.051363,            0.018696,            0.014703,             0.37685,             0.37634,             0.26899,            0.085472,            0.045415,           0.0084578,            0.016586,           0.0099112,           0.0099112,           0.0099112
                  21,            0.049434,            0.018919,            0.014855,             0.39149,             0.36044,             0.29083,            0.092033,            0.048797,           0.0081792,            0.016313,           0.0099017,           0.0099017,           0.0099017
                  22,            0.049334,            0.018321,            0.015453,             0.35736,             0.31407,               0.245,            0.079018,            0.045552,           0.0086556,            0.014514,           0.0098916,           0.0098916,           0.0098916
                  23,            0.049593,            0.018731,            0.014579,             0.41105,             0.37904,             0.29295,            0.092209,            0.046666,           0.0081413,             0.01415,           0.0098811,           0.0098811,           0.0098811
                  24,            0.048521,            0.018572,            0.016242,             0.43088,             0.35596,             0.34237,             0.11741,            0.044096,           0.0081154,            0.014055,           0.0098701,           0.0098701,           0.0098701
                  25,            0.048668,            0.018401,            0.015163,             0.40772,             0.37993,             0.30734,             0.11036,            0.042355,           0.0082916,            0.015339,           0.0098586,           0.0098586,           0.0098586
                  26,            0.046214,            0.017926,            0.015448,             0.44753,              0.4254,             0.37766,             0.12553,            0.042047,           0.0077673,            0.013017,           0.0098467,           0.0098467,           0.0098467
                  27,            0.048863,            0.019216,            0.014096,             0.42458,             0.37522,              0.3521,              0.1159,            0.041503,           0.0078312,             0.01226,           0.0098342,           0.0098342,           0.0098342
                  28,            0.046742,            0.018199,            0.013681,             0.46158,             0.36425,             0.35037,             0.13806,            0.040282,           0.0077952,            0.013475,           0.0098213,           0.0098213,           0.0098213
                  29,            0.048123,            0.017799,            0.013851,             0.55237,             0.37791,             0.38423,             0.14447,            0.045668,           0.0074472,            0.012973,           0.0098079,           0.0098079,           0.0098079
                  30,            0.047243,            0.017676,            0.013295,             0.57406,             0.50606,             0.45568,             0.16116,            0.041213,           0.0075749,             0.01175,           0.0097941,           0.0097941,           0.0097941
                  31,             0.04543,            0.018037,            0.012558,             0.49598,             0.50381,             0.43702,             0.15399,            0.040002,           0.0076529,            0.011851,           0.0097798,           0.0097798,           0.0097798
                  32,            0.044556,            0.017594,            0.013452,             0.57917,             0.47261,             0.49962,             0.17704,            0.039625,           0.0075274,            0.012692,            0.009765,            0.009765,            0.009765
                  33,            0.046769,            0.017836,            0.013435,             0.49555,             0.44504,             0.43025,             0.18026,            0.041747,            0.007321,            0.012694,           0.0097497,           0.0097497,           0.0097497
                  34,            0.047556,            0.018055,            0.013003,             0.46656,             0.47043,             0.42609,             0.15585,            0.040879,           0.0075566,            0.010998,            0.009734,            0.009734,            0.009734
                  35,            0.043786,            0.017381,            0.012271,             0.67005,             0.45135,             0.50406,             0.18859,            0.040842,           0.0073594,            0.010233,           0.0097178,           0.0097178,           0.0097178
                  36,            0.044233,            0.017721,            0.012295,             0.58805,             0.56782,             0.50533,              0.2147,            0.040514,           0.0070607,             0.01091,           0.0097011,           0.0097011,           0.0097011
                  37,            0.045121,            0.017043,            0.012482,             0.63451,             0.43027,             0.50618,             0.19279,            0.038244,            0.007301,           0.0093907,            0.009684,            0.009684,            0.009684
                  38,            0.044704,            0.017504,            0.013066,             0.57916,             0.53592,             0.53652,             0.20984,            0.038975,           0.0073561,           0.0098717,           0.0096664,           0.0096664,           0.0096664
                  39,            0.044377,            0.017252,            0.011398,             0.59455,             0.50762,             0.53387,              0.2329,            0.039241,           0.0070427,            0.010366,           0.0096484,           0.0096484,           0.0096484
                  40,            0.045586,            0.016947,            0.010684,              0.5235,             0.56116,              0.5411,             0.20638,            0.038462,           0.0070447,           0.0087532,           0.0096299,           0.0096299,           0.0096299
                  41,            0.044372,            0.016911,            0.010406,             0.52766,             0.56496,             0.52317,             0.18606,             0.03948,           0.0070195,            0.005921,            0.009611,            0.009611,            0.009611
                  42,             0.04354,            0.017409,            0.011987,             0.52396,             0.52373,             0.49651,             0.19852,            0.038033,           0.0070991,            0.009475,           0.0095916,           0.0095916,           0.0095916
                  43,            0.044701,            0.017467,            0.011507,             0.59483,             0.50228,             0.51672,             0.20115,            0.037907,           0.0072502,            0.010078,           0.0095717,           0.0095717,           0.0095717
                  44,            0.043985,            0.017526,            0.011794,             0.65406,             0.55488,             0.58136,              0.2277,            0.039527,           0.0069472,           0.0072322,           0.0095514,           0.0095514,           0.0095514
                  45,            0.044878,             0.01694,            0.010017,             0.63892,             0.62545,             0.62841,             0.25281,            0.037251,           0.0068127,           0.0074289,           0.0095307,           0.0095307,           0.0095307
                  46,            0.042751,            0.016786,           0.0086973,             0.67332,             0.54606,             0.56309,             0.21744,            0.036373,           0.0069479,           0.0052885,           0.0095095,           0.0095095,           0.0095095
                  47,            0.043119,            0.016746,           0.0096511,             0.52728,             0.55847,             0.51653,             0.21008,            0.038637,           0.0070902,            0.008453,           0.0094879,           0.0094879,           0.0094879
                  48,            0.044332,            0.016538,           0.0094407,             0.58962,             0.51195,             0.55379,             0.22113,            0.039169,           0.0071649,           0.0092335,           0.0094659,           0.0094659,           0.0094659
                  49,            0.043766,            0.017018,            0.010588,              0.6468,             0.58154,             0.59799,             0.23325,            0.036182,           0.0068459,           0.0050124,           0.0094434,           0.0094434,           0.0094434
                  50,            0.041742,            0.016788,           0.0089812,             0.68585,             0.64316,             0.65361,             0.26571,            0.037263,           0.0065902,           0.0048421,           0.0094205,           0.0094205,           0.0094205
                  51,            0.041217,            0.016619,           0.0084487,             0.65394,             0.60058,             0.62258,             0.27115,            0.036703,           0.0067641,           0.0050686,           0.0093971,           0.0093971,           0.0093971
                  52,            0.044696,            0.016875,           0.0094294,             0.55161,             0.60506,             0.57436,             0.22475,            0.036825,           0.0069556,           0.0067075,           0.0093733,           0.0093733,           0.0093733
                  53,            0.044566,             0.01661,           0.0098111,             0.66412,              0.5746,             0.62084,              0.2568,            0.036627,           0.0068804,            0.006334,           0.0093491,           0.0093491,           0.0093491
                  54,            0.041637,            0.016391,           0.0080655,             0.64442,             0.62881,             0.63092,             0.26955,             0.03632,           0.0068607,           0.0039156,           0.0093245,           0.0093245,           0.0093245
                  55,            0.042738,            0.016455,           0.0074841,             0.71873,             0.62231,              0.6566,             0.27406,            0.037215,           0.0065224,           0.0076408,           0.0092995,           0.0092995,           0.0092995
                  56,            0.040011,            0.015774,           0.0086517,             0.67846,             0.63686,              0.6415,             0.27388,            0.035588,           0.0066438,           0.0068147,            0.009274,            0.009274,            0.009274
                  57,            0.040871,            0.016347,            0.009767,             0.59661,             0.62926,             0.60872,             0.27413,            0.037239,           0.0066145,           0.0064802,           0.0092481,           0.0092481,           0.0092481
                  58,             0.04171,            0.016582,           0.0079343,             0.70374,             0.56718,             0.63601,             0.27832,            0.035708,           0.0066237,           0.0040718,           0.0092219,           0.0092219,           0.0092219
                  59,            0.041351,            0.016423,           0.0086961,             0.76144,              0.6041,             0.67809,              0.2921,            0.035071,           0.0064909,           0.0056636,           0.0091952,           0.0091952,           0.0091952
                  60,            0.041336,            0.015457,           0.0073598,             0.73012,             0.60871,             0.65058,             0.28615,            0.036577,           0.0063724,           0.0043845,           0.0091681,           0.0091681,           0.0091681
                  61,            0.040092,            0.016329,           0.0088646,             0.72976,             0.54615,              0.6079,             0.26787,            0.036502,           0.0065633,           0.0052586,           0.0091406,           0.0091406,           0.0091406
                  62,            0.040929,            0.016288,            0.007602,             0.75698,             0.65544,             0.70927,             0.31239,            0.034473,           0.0063578,           0.0040552,           0.0091127,           0.0091127,           0.0091127
                  63,            0.040034,             0.01625,           0.0085381,             0.73445,              0.5763,             0.63113,              0.2835,             0.03657,           0.0062671,            0.003188,           0.0090844,           0.0090844,           0.0090844
                  64,            0.040873,            0.016161,           0.0073041,              0.6918,             0.62131,             0.65371,              0.2896,            0.036987,           0.0063617,           0.0044832,           0.0090557,           0.0090557,           0.0090557
                  65,            0.039731,            0.016306,           0.0078611,             0.75371,             0.65358,              0.7095,             0.32364,            0.035126,            0.006248,           0.0036864,           0.0090266,           0.0090266,           0.0090266
                  66,            0.038671,            0.015677,           0.0071768,             0.76779,             0.68687,             0.72409,             0.34401,            0.033739,           0.0060974,           0.0031563,           0.0089972,           0.0089972,           0.0089972
                  67,            0.039674,            0.015562,           0.0082976,             0.70866,             0.65054,             0.69742,             0.29141,            0.036429,           0.0063791,            0.002984,           0.0089673,           0.0089673,           0.0089673
                  68,            0.040499,             0.01592,           0.0091018,             0.72663,             0.66555,             0.71442,             0.32963,             0.03533,           0.0062098,           0.0037534,           0.0089371,           0.0089371,           0.0089371
                  69,             0.03978,            0.016006,           0.0085297,             0.69901,             0.59274,             0.63381,             0.28285,            0.034787,           0.0064827,           0.0050396,           0.0089065,           0.0089065,           0.0089065
                  70,            0.039288,            0.015948,           0.0070921,             0.75882,             0.66559,             0.71355,             0.34154,            0.035799,           0.0061931,           0.0028282,           0.0088755,           0.0088755,           0.0088755
